subject_id,n_trials,source_study,trial,choice,deck,win,loss,net_outcome
1,95,Fridberg,1,2,B,100.0,0.0,100.0
1,95,Fridberg,2,2,B,100.0,0.0,100.0
1,95,Fridberg,3,2,B,100.0,0.0,100.0
1,95,Fridberg,4,2,B,100.0,0.0,100.0
1,95,Fridberg,5,2,B,100.0,0.0,100.0
1,95,Fridberg,6,2,B,100.0,0.0,100.0
1,95,Fridberg,7,2,B,100.0,0.0,100.0
1,95,Fridberg,8,2,B,100.0,0.0,100.0
1,95,Fridberg,9,2,B,100.0,-1250.0,-1150.0
1,95,Fridberg,10,1,A,100.0,0.0,100.0
1,95,Fridberg,11,1,A,100.0,0.0,100.0
1,95,Fridberg,12,1,A,100.0,-150.0,-50.0
1,95,Fridberg,13,3,C,50.0,0.0,50.0
1,95,Fridberg,14,4,D,50.0,0.0,50.0
1,95,Fridberg,15,1,A,100.0,0.0,100.0
1,95,Fridberg,16,1,A,100.0,-300.0,-200.0
1,95,Fridberg,17,3,C,50.0,0.0,50.0
1,95,Fridberg,18,3,C,50.0,-50.0,0.0
1,95,Fridberg,19,4,D,50.0,0.0,50.0
1,95,Fridberg,20,4,D,50.0,0.0,50.0
1,95,Fridberg,21,4,D,50.0,0.0,50.0
1,95,Fridberg,22,4,D,50.0,0.0,50.0
1,95,Fridberg,23,4,D,50.0,0.0,50.0
1,95,Fridberg,24,4,D,50.0,0.0,50.0
1,95,Fridberg,25,4,D,50.0,0.0,50.0
1,95,Fridberg,26,4,D,50.0,0.0,50.0
1,95,Fridberg,27,1,A,100.0,0.0,100.0
1,95,Fridberg,28,4,D,50.0,-250.0,-200.0
1,95,Fridberg,29,1,A,100.0,-200.0,-100.0
1,95,Fridberg,30,4,D,50.0,0.0,50.0
1,95,Fridberg,31,4,D,50.0,0.0,50.0
1,95,Fridberg,32,4,D,50.0,0.0,50.0
1,95,Fridberg,33,4,D,50.0,0.0,50.0
1,95,Fridberg,34,4,D,50.0,0.0,50.0
1,95,Fridberg,35,1,A,100.0,0.0,100.0
1,95,Fridberg,36,4,D,50.0,0.0,50.0
1,95,Fridberg,37,4,D,50.0,0.0,50.0
1,95,Fridberg,38,4,D,50.0,0.0,50.0
1,95,Fridberg,39,4,D,50.0,0.0,50.0
1,95,Fridberg,40,4,D,50.0,-250.0,-200.0
1,95,Fridberg,41,1,A,100.0,-250.0,-150.0
1,95,Fridberg,42,4,D,50.0,0.0,50.0
1,95,Fridberg,43,4,D,50.0,0.0,50.0
1,95,Fridberg,44,4,D,50.0,0.0,50.0
1,95,Fridberg,45,4,D,50.0,0.0,50.0
1,95,Fridberg,46,4,D,50.0,0.0,50.0
1,95,Fridberg,47,4,D,50.0,0.0,50.0
1,95,Fridberg,48,4,D,50.0,0.0,50.0
1,95,Fridberg,49,4,D,50.0,0.0,50.0
1,95,Fridberg,50,4,D,50.0,-250.0,-200.0
1,95,Fridberg,51,1,A,100.0,-350.0,-250.0
1,95,Fridberg,52,4,D,50.0,0.0,50.0
1,95,Fridberg,53,4,D,50.0,0.0,50.0
1,95,Fridberg,54,4,D,50.0,0.0,50.0
1,95,Fridberg,55,4,D,50.0,0.0,50.0
1,95,Fridberg,56,4,D,50.0,0.0,50.0
1,95,Fridberg,57,4,D,50.0,-250.0,-200.0
1,95,Fridberg,58,1,A,100.0,0.0,100.0
1,95,Fridberg,59,4,D,50.0,0.0,50.0
1,95,Fridberg,60,4,D,50.0,0.0,50.0
1,95,Fridberg,61,4,D,50.0,0.0,50.0
1,95,Fridberg,62,4,D,50.0,0.0,50.0
1,95,Fridberg,63,4,D,50.0,0.0,50.0
1,95,Fridberg,64,4,D,50.0,0.0,50.0
1,95,Fridberg,65,4,D,50.0,0.0,50.0
1,95,Fridberg,66,4,D,50.0,0.0,50.0
1,95,Fridberg,67,4,D,50.0,0.0,50.0
1,95,Fridberg,68,4,D,50.0,0.0,50.0
1,95,Fridberg,69,4,D,50.0,0.0,50.0
1,95,Fridberg,70,4,D,50.0,0.0,50.0
1,95,Fridberg,71,1,A,100.0,-350.0,-250.0
1,95,Fridberg,72,4,D,50.0,0.0,50.0
1,95,Fridberg,73,4,D,50.0,0.0,50.0
1,95,Fridberg,74,4,D,50.0,-250.0,-200.0
