source_study,n_subjects,pvl_aic_wins,pvl_aic_win_rate,q_aic_wins,pvl_bic_wins,pvl_bic_win_rate,q_bic_wins,mean_aic_q_minus_pvl,median_aic_q_minus_pvl,mean_bic_q_minus_pvl,median_bic_q_minus_pvl
Fridberg,15,14,0.9333333333333333,1,13,0.8666666666666667,2,17.4558742285995,19.375441462620188,12.348120445398438,14.267687679419112
Steingroever2011,57,51,0.8947368421052632,6,46,0.8070175438596491,11,50.46928616000643,30.015172646746294,44.44801557181393,23.993902058553772
Horstmann,162,144,0.8888888888888888,18,123,0.7592592592592593,39,32.42370642666487,23.328649783211077,27.213366054688702,18.11830941123489
SteingroverInPrep,70,62,0.8857142857142857,8,57,0.8142857142857143,13,33.86892002924977,23.072074173353236,28.658579657273595,17.861733801377028
Wetzels,41,36,0.8780487804878049,5,32,0.7804878048780488,9,37.1406736620893,26.23473671625061,31.11940307389679,20.2134661280582
Maia,40,34,0.85,6,25,0.625,15,13.92164934902693,8.733204709700885,8.711308977050752,3.5228643377247266
Kjome,19,15,0.7894736842105263,4,11,0.5789473684210527,8,21.933745981397365,9.503543588263767,16.72340560942119,4.293203216287623
Premkumar,25,19,0.76,6,12,0.48,13,15.328409681404073,3.946933518496877,10.118069309427899,-1.2634068534794096
Worthy,35,26,0.7428571428571429,9,19,0.5428571428571428,16,19.52190050611111,7.491295387569437,14.31156013413495,2.2809550155932925
Wood,153,109,0.7124183006535948,44,89,0.5816993464052288,64,16.26777874942802,7.203726535975704,11.057438377451852,1.9933861639995598
