model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,uniform_choice_nll,nll_improvement_over_uniform,uniform_choice_fit,n_parameters_at_lower_bound,n_parameters_at_upper_bound,n_parameters_at_any_bound,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,comparison_eligible,delta_aic,delta_bic,best_aic,best_bic
pvl_delta,95,1,Fridberg,40.26370920171179,-40.26370920171179,88.52741840342358,98.74292596982575,131.6979643063896,91.4342551046778,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,350,35,32,0.10324353108828706,,1.0736756553605833,0.4596448835258961,2.5563090846981975,True,0.0,0.0,True,True
q_learning,95,1,Fridberg,45.37089438744249,-45.37089438744249,94.74178877488498,99.84954255808606,131.6979643063896,86.3270699189471,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,18,8,0.03582856996091687,20.677677172805854,,,,True,6.214370371461399,1.1066165882603087,False,False
pvl_delta,95,2,Fridberg,125.50870326443123,-125.50870326443123,259.01740652886247,269.2329140952646,131.6979643063896,6.1892610419583605,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,405,49,32,0.028817513734170876,,1.2488384637138028,0.27831269198582514,2.02832532908995,True,0.0,1.1618703505473604,True,False
q_learning,95,2,Fridberg,129.4816449807581,-129.4816449807581,262.9632899615162,268.07104374471726,131.6979643063896,2.2163193256315026,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,261,59,10,0.0004081227451839649,100.0,,,,True,3.9458834326537158,0.0,False,True
pvl_delta,95,3,Fridberg,115.67059213378076,-115.67059213378076,239.34118426756152,249.55669183396367,131.6979643063896,16.027372172608835,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100,15,32,0.1552261062029235,,1e-06,0.23937928361408561,1.2562574562377493,True,0.0,0.0,True,True
q_learning,95,3,Fridberg,131.46991462681368,-131.46991462681368,266.93982925362735,272.0475830368284,131.6979643063896,0.2280496795759177,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,222,47,10,0.0001282746105279615,100.0,,,,True,27.598644986065835,22.49089120286476,False,False
pvl_delta,95,4,Fridberg,113.34271847960505,-113.34271847960505,234.6854369592101,244.90094452561226,131.6979643063896,18.35524582678454,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,135,19,32,0.09353533443090092,,0.44172943925067876,1.2511737892169978,1.5829864971874996,True,0.0,0.0,True,True
q_learning,95,4,Fridberg,131.2505108968527,-131.2505108968527,266.5010217937054,271.60877557690645,131.6979643063896,0.44745340953690516,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,375,78,10,0.00017071507018782625,100.0,,,,True,31.81558483449527,26.707831051294193,False,False
pvl_delta,95,5,Fridberg,113.8412066201304,-113.8412066201304,235.6824132402608,245.89792080666294,131.6979643063896,17.8567576862592,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,565,66,32,0.06255267058410201,,0.45168124071731003,1.419731050288955,1.6106505757414336,True,0.0,0.0,True,True
q_learning,95,5,Fridberg,124.31303813079138,-124.31303813079138,252.62607626158277,257.7338300447839,131.6979643063896,7.38492617559821,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,189,44,9,0.000834454874862423,100.0,,,,True,16.94366302132198,11.835909238120934,False,False
pvl_delta,95,6,Fridberg,102.19900250158129,-102.19900250158129,212.39800500316258,222.61351256956473,131.6979643063896,29.498961804808303,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,360,46,32,0.0007708638840510854,,0.13008718893187488,4.6106621985411955,5.0,True,0.0,0.0,True,True
q_learning,95,6,Fridberg,112.28825509627222,-112.28825509627222,228.57651019254445,233.68426397574552,131.6979643063896,19.40970921011737,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156,27,8,0.0019900996780563775,100.0,,,,True,16.178505189381866,11.07075140618079,False,False
pvl_delta,95,7,Fridberg,124.75838386140241,-124.75838386140241,257.51676772280484,267.732275289207,131.6979643063896,6.939580444987186,False,2,0,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,515,69,32,0.07415711150990759,,1e-06,1e-06,1.0071761018887713,True,0.0,0.0,True,True
q_learning,95,7,Fridberg,131.69376245527528,-131.69376245527528,267.38752491055055,272.49527869375163,131.6979643063896,0.0042018511143169235,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,2,7,9.841727152481238e-05,19.000000000000153,,,,True,9.87075718774571,4.763003404544634,False,False
pvl_delta,95,8,Fridberg,112.58061409684959,-112.58061409684959,233.16122819369917,243.37673576010133,131.6979643063896,19.117350209540007,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,580,73,32,0.034424245932935485,,1e-06,1.2300202252697836,1.6101893606265214,True,0.0,0.0,True,True
q_learning,95,8,Fridberg,127.1330278621737,-127.1330278621737,258.26605572434744,263.3738095075485,131.6979643063896,4.564936444215888,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,192,40,8,0.0006697427831605435,100.0,,,,True,25.104827530648265,19.99707374744719,False,False
pvl_delta,95,9,Fridberg,116.80174432576976,-116.80174432576976,241.60348865153952,251.81899621794167,131.6979643063896,14.896219980619833,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,110,18,32,0.13901954021644067,,1e-06,0.7030660112018523,1.1512426973655352,True,0.0,0.0,True,True
q_learning,95,9,Fridberg,130.94966015817033,-130.94966015817033,265.89932031634066,271.00707409954174,131.6979643063896,0.7483041482192618,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,8,10,1.0,0.06647956746860309,,,,True,24.295831664801142,19.188077881600066,False,False
pvl_delta,95,10,Fridberg,91.95180921634201,-91.95180921634201,191.90361843268403,202.11912599908618,131.6979643063896,39.74615509004758,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,325,47,32,0.0035251647172122548,,1e-06,4.365536902645936,3.6450506219713694,True,0.0,0.0,True,True
q_learning,95,10,Fridberg,103.84236753853031,-103.84236753853031,211.68473507706062,216.7924888602617,131.6979643063896,27.855596767859282,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,114,23,8,0.001963741781908452,100.0,,,,True,19.781116644376596,14.67336286117552,False,False
