model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,delta_aic,delta_bic,best_aic,best_bic
pvl_delta,95,1,Fridberg,40.26370920121684,-40.26370920121684,88.52741840243368,98.74292596883585,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,120,19,32,0.10324465109683488,,1.0736733128681315,0.4596438844454678,2.5563084063230757,0.0,0.0,True,True
q_learning,95,1,Fridberg,45.378016833896766,-45.378016833896766,94.75603366779353,99.86378745099461,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63,18,1,0.037336159245625306,20.0,,,,6.228615265359849,1.1208614821587588,False,False
pvl_delta,95,2,Fridberg,131.69796430238358,-131.69796430238358,271.39592860476716,281.6114361711693,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,2,32,1e-06,,1e-06,1.1242408139325542,3.9023100888718484e-05,8.383223948585055,13.490977731786131,False,False
q_learning,95,2,Fridberg,129.50635232809105,-129.50635232809105,263.0127046561821,268.1204584393832,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,117,28,1,0.0020371827760707084,20.0,,,,0.0,0.0,True,True
pvl_delta,95,3,Fridberg,115.67059202924703,-115.67059202924703,239.34118405849406,249.55669162489622,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,285,29,32,0.15523335565254887,,1e-06,0.23933703225145767,1.2563179014465664,0.0,0.0,True,True
q_learning,95,3,Fridberg,131.6979643063897,-131.6979643063897,267.3959286127794,272.5036823959805,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,28.05474455428535,22.946990771084273,False,False
pvl_delta,95,4,Fridberg,113.34271847960666,-113.34271847960666,234.68543695921332,244.90094452561547,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,420,48,32,0.09353527643918236,,0.44172942204506505,1.2511740942191496,1.5829865872906475,0.0,0.0,True,True
q_learning,95,4,Fridberg,131.6979643063897,-131.6979643063897,267.3959286127794,272.5036823959805,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,32.710491653566095,27.60273787036502,False,False
pvl_delta,95,5,Fridberg,113.84120662013508,-113.84120662013508,235.68241324027017,245.89792080667232,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,620,88,32,0.0625526427562112,,0.45168202850158884,1.4197276692375713,1.6106513136895664,0.0,0.0,True,True
q_learning,95,5,Fridberg,124.50213413932647,-124.50213413932647,253.00426827865294,258.112022061854,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,90,22,1,0.004216520833081251,19.838072432206175,,,,17.32185503838278,12.214101255181703,False,False
pvl_delta,95,6,Fridberg,102.19900250192124,-102.19900250192124,212.39800500384248,222.61351257024464,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,370,55,32,0.0007708626956943711,,0.13008870899735162,4.610641512834767,5.0,0.0,0.0,True,True
q_learning,95,6,Fridberg,113.83907257802124,-113.83907257802124,231.6781451560425,236.78589893924357,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,90,20,1,0.009762779178445324,20.0,,,,19.280140152200005,14.172386368998929,False,False
