model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,uniform_choice_nll,nll_improvement_over_uniform,uniform_choice_fit,n_parameters_at_lower_bound,n_parameters_at_upper_bound,n_parameters_at_any_bound,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature
q_learning,95,1,Fridberg,45.37089438744249,-45.37089438744249,94.74178877488498,99.84954255808606,131.6979643063896,86.3270699189471,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,18,5,0.03582856996091687,20.677677172805854
q_learning,95,2,Fridberg,129.48164498077355,-129.48164498077355,262.9632899615471,268.0710437447482,131.6979643063896,2.216319325616041,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,252,54,5,0.0004081216143555522,100.0
q_learning,95,5,Fridberg,124.31303813099846,-124.31303813099846,252.62607626199693,257.73383004519803,131.6979643063896,7.384926175391129,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,180,42,5,0.0008344504238645493,100.0
q_learning,95,6,Fridberg,112.28825509627222,-112.28825509627222,228.57651019254445,233.68426397574552,131.6979643063896,19.40970921011737,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156,27,5,0.0019900996780563775,100.0
q_learning,95,8,Fridberg,127.1330278621908,-127.1330278621908,258.2660557243816,263.3738095075827,131.6979643063896,4.564936444198793,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,234,39,4,0.0006697425054065447,100.0
q_learning,95,10,Fridberg,103.84236753862163,-103.84236753862163,211.68473507724326,216.79248886044434,131.6979643063896,27.855596767767963,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,4,5,0.0019637365402474694,100.0
q_learning,95,13,Fridberg,128.5434741451745,-128.5434741451745,261.086948290349,266.1947020735501,131.6979643063896,3.1544901612150795,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,195,45,5,0.0005037450963209353,100.0
q_learning,95,15,Fridberg,119.1928155645165,-119.1928155645165,242.385631129033,247.49338491223406,131.6979643063896,12.5051487418731,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54,5,5,0.0013345806642377103,99.99999999969326
q_learning,100,4,Horstmann,136.57949501808304,-136.57949501808304,277.1589900361661,282.3693304081423,138.62943611198907,2.0499410939060283,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,264,60,5,0.0005144948994858329,95.55679828335127
q_learning,100,25,Horstmann,102.64589651292093,-102.64589651292093,209.29179302584186,214.50213339781803,138.62943611198907,35.98353959906814,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,129,33,4,0.0025652092835668446,100.0
q_learning,100,28,Horstmann,121.1167017356068,-121.1167017356068,246.2334034712136,251.44374384318976,138.62943611198907,17.51273437638227,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45,5,5,0.0013979513506353544,99.99999999998228
q_learning,100,31,Horstmann,121.37494722320908,-121.37494722320908,246.74989444641815,251.96023481839433,138.62943611198907,17.25448888877999,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,141,28,4,0.0017004259701635825,100.0
q_learning,100,32,Horstmann,137.30883540988367,-137.30883540988367,278.61767081976734,283.82801119174354,138.62943611198907,1.320600702105395,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,285,68,5,0.00038135431356730535,86.92416425021344
q_learning,100,41,Horstmann,120.92293500926321,-120.92293500926321,245.84587001852643,251.0562103905026,138.62943611198907,17.706501102725852,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,255,59,5,0.0013682907639428498,100.0
q_learning,100,44,Horstmann,118.89090904931595,-118.89090904931595,241.7818180986319,246.99215847060808,138.62943611198907,19.738527062673114,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,4,5,0.0012934304470449457,100.0
q_learning,100,46,Horstmann,83.94122765624591,-83.94122765624591,171.88245531249183,177.092795684468,138.62943611198907,54.68820845574315,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,120,33,4,0.00289758370367139,100.0
q_learning,100,54,Horstmann,123.47187055788893,-123.47187055788893,250.94374111577787,256.15408148775407,138.62943611198907,15.157565554100131,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42,6,5,1.0,0.39960611970407695
q_learning,100,62,Horstmann,83.16649725699419,-83.16649725699419,170.33299451398838,175.54333488596455,138.62943611198907,55.462938854994874,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,114,19,5,0.01324479432666895,27.08275695783447
q_learning,100,64,Horstmann,118.67391473176414,-118.67391473176414,241.34782946352829,246.55816983550446,138.62943611198907,19.955521380224923,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102,28,5,0.0019992460987743356,100.0
q_learning,100,69,Horstmann,86.31720972322488,-86.31720972322488,176.63441944644975,181.84475981842593,138.62943611198907,52.31222638876419,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,117,25,4,0.0030202524053634435,100.0
q_learning,100,71,Horstmann,137.9753156173272,-137.9753156173272,279.9506312346544,285.1609716066306,138.62943611198907,0.6541204946618677,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,261,58,5,0.000331841446259989,100.0
q_learning,100,73,Horstmann,137.77857040149783,-137.77857040149783,279.55714080299566,284.76748117497186,138.62943611198907,0.8508657104912345,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,4,5,0.0005336749377548777,56.99999999938813
q_learning,100,74,Horstmann,108.11848003012621,-108.11848003012621,220.23696006025241,225.4473004322286,138.62943611198907,30.510956081862858,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138,38,5,0.006004207174502349,23.1854547144557
q_learning,100,91,Horstmann,39.067827524138195,-39.067827524138195,82.13565504827639,87.34599542025258,138.62943611198907,99.56160858785087,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,5,3,0.006572908957657087,100.0
q_learning,100,94,Horstmann,133.17712744239967,-133.17712744239967,270.35425488479933,275.56459525677553,138.62943611198907,5.452308669589399,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,204,48,5,0.0009920962160988945,100.0
q_learning,100,101,Horstmann,130.64997847601398,-130.64997847601398,265.29995695202797,270.51029732400417,138.62943611198907,7.979457635975081,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,210,53,5,0.0010203832759712178,100.0
q_learning,100,110,Horstmann,126.49597039092927,-126.49597039092927,256.99194078185855,262.20228115383475,138.62943611198907,12.133465721059792,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,24,4,5,0.00132679133628415,100.0
q_learning,100,114,Horstmann,126.6884770770042,-126.6884770770042,257.3769541540084,262.5872945259846,138.62943611198907,11.940959034984871,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,288,68,5,0.0009251861775304071,100.0
q_learning,100,117,Horstmann,135.41293234167182,-135.41293234167182,274.82586468334364,280.03620505531984,138.62943611198907,3.216503770317246,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,75,11,5,1.0,0.14019037705726864
q_learning,100,122,Horstmann,131.99595288542048,-131.99595288542048,267.99190577084096,273.20224614281716,138.62943611198907,6.633483226568586,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,237,53,5,0.0011216940815410009,100.0
q_learning,100,123,Horstmann,137.75905371062467,-137.75905371062467,279.51810742124934,284.72844779322554,138.62943611198907,0.8703824013643953,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,243,56,5,0.0004331407299641011,100.0
q_learning,100,128,Horstmann,72.54879586399247,-72.54879586399247,149.09759172798493,154.3079320999611,138.62943611198907,66.0806402479966,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156,31,5,0.004252925946069264,100.0
q_learning,100,135,Horstmann,81.7837528069618,-81.7837528069618,167.5675056139236,172.77784598589977,138.62943611198907,56.845683305027265,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138,35,4,0.0030460549876028327,100.0
q_learning,100,137,Horstmann,129.1739916113429,-129.1739916113429,262.3479832226858,267.558323594662,138.62943611198907,9.455444500646166,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,2,4,0.001309506996097962,100.0
q_learning,100,138,Horstmann,130.31774279521403,-130.31774279521403,264.63548559042806,269.84582596240426,138.62943611198907,8.311693316775035,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,180,45,5,0.000949027217662603,100.0
q_learning,100,142,Horstmann,104.97519683728642,-104.97519683728642,213.95039367457284,219.160734046549,138.62943611198907,33.65423927470265,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,168,44,5,0.002532034966492532,100.0
q_learning,100,147,Horstmann,131.6781722261259,-131.6781722261259,267.3563444522518,272.566684824228,138.62943611198907,6.95126388586317,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,135,34,5,0.005290580252358096,22.945584424570782
q_learning,100,151,Horstmann,127.44302733795939,-127.44302733795939,258.8860546759188,264.096395047895,138.62943611198907,11.186408774029672,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,192,43,5,0.0011291447379038137,100.0
q_learning,100,155,Horstmann,131.34131191864913,-131.34131191864913,266.68262383729825,271.89296420927445,138.62943611198907,7.288124193339939,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,249,61,5,0.0006961108220081561,100.0
q_learning,100,162,Horstmann,77.90275356755495,-77.90275356755495,159.8055071351099,165.01584750708608,138.62943611198907,60.72668254443411,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111,28,3,0.0026825319461932272,100.0
q_learning,100,166,Kjome,131.97577658055656,-131.97577658055656,267.9515531611131,273.1618935330893,138.62943611198907,6.65365953143251,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,195,47,4,0.0006215385937284988,100.0
q_learning,100,168,Kjome,126.24700949613845,-126.24700949613845,256.4940189922769,261.7043593642531,138.62943611198907,12.382426615850619,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,3,5,0.0012013236345778785,100.0
q_learning,100,169,Kjome,131.66140431040608,-131.66140431040608,267.32280862081217,272.53314899278837,138.62943611198907,6.968031801582981,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,237,44,4,0.0005967197940134485,99.93446203844168
q_learning,100,178,Kjome,123.63000653741132,-123.63000653741132,251.26001307482264,256.4703534467988,138.62943611198907,14.999429574577746,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,225,56,5,0.0012255833590923088,100.0
q_learning,100,180,Kjome,128.128083375819,-128.128083375819,260.256166751638,265.4665071236142,138.62943611198907,10.501352736170077,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,225,57,5,0.000982569500010577,100.0
q_learning,100,184,Maia,124.83025643036517,-124.83025643036517,253.66051286073034,258.8708532327065,138.62943611198907,13.799179681623897,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,105,5,5,0.001384364557795027,99.99999999986917
q_learning,100,185,Maia,127.60628506355157,-127.60628506355157,259.21257012710316,264.4229104990793,138.62943611198907,11.023151048437498,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,240,55,5,0.0009451900918199356,100.0
q_learning,100,186,Maia,136.5642295519986,-136.5642295519986,277.1284591039972,282.3387994759734,138.62943611198907,2.0652065599904574,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,219,51,5,0.0004089270514256388,100.0
q_learning,100,187,Maia,120.20864043208948,-120.20864043208948,244.41728086417896,249.62762123615514,138.62943611198907,18.420795679899584,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,108,28,5,0.0012898335289587158,100.0
q_learning,100,192,Maia,135.77142839062216,-135.77142839062216,275.5428567812443,280.7531971532205,138.62943611198907,2.858007721366903,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,183,40,5,0.0004576480108302557,100.0
q_learning,100,193,Maia,75.99100849019091,-75.99100849019091,155.98201698038181,161.192357352358,138.62943611198907,62.63842762179816,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,132,34,4,0.00394810049659658,100.0
q_learning,100,194,Maia,22.364410383313803,-22.364410383313803,48.72882076662761,53.939161138603794,138.62943611198907,116.26502572867525,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,84,23,3,0.013160482489845507,100.0
q_learning,100,196,Maia,100.52144269450919,-100.52144269450919,205.04288538901838,210.25322576099455,138.62943611198907,38.107993417479875,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138,30,4,0.0026653021763747586,100.0
q_learning,100,200,Maia,102.11041390290035,-102.11041390290035,208.2208278058007,213.43116817777687,138.62943611198907,36.51902220908872,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111,30,4,0.0032628515522997088,91.52622168460573
q_learning,100,203,Maia,136.74397596207328,-136.74397596207328,277.48795192414656,282.69829229612276,138.62943611198907,1.8854601499157866,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,210,47,5,0.0003703581800410086,100.0
q_learning,100,208,Maia,127.38055144836987,-127.38055144836987,258.76110289673977,263.9714432687159,138.62943611198907,11.248884663619194,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,4,5,0.0013186143853094873,100.0
q_learning,100,210,Maia,47.93329358149147,-47.93329358149147,99.86658716298294,105.07692753495913,138.62943611198907,90.6961425304976,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,7,5,0.006005820912741295,100.0
q_learning,100,213,Maia,137.9100462604547,-137.9100462604547,279.8200925209094,285.0304328928856,138.62943611198907,0.7193898515343733,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,462,93,5,0.0002858586172375542,74.31551109033974
q_learning,100,214,Maia,59.26670548804243,-59.26670548804243,122.53341097608487,127.74375134806105,138.62943611198907,79.36273062394663,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111,26,5,0.006015655876815408,100.0
