n_trials,subject_id
95,1
95,2
95,5
95,6
95,8
95,10
95,13
95,15
100,4
100,25
100,28
100,31
100,32
100,41
100,44
100,46
100,54
100,62
100,64
100,69
100,71
100,73
100,74
100,91
100,94
100,101
100,110
100,114
100,117
100,122
100,123
100,128
100,135
100,137
100,138
100,142
100,147
100,151
100,155
100,162
100,166
100,168
100,169
100,178
100,180
100,184
100,185
100,186
100,187
100,192
100,193
100,194
100,196
100,200
100,203
100,208
100,210
100,213
100,214
100,215
100,217
100,219
100,221
100,225
100,230
100,231
100,233
100,237
100,240
100,246
100,254
100,256
100,258
100,262
100,272
100,276
100,278
100,279
100,280
100,285
100,287
100,289
100,294
100,295
100,300
100,307
100,308
100,311
100,312
100,326
100,331
100,333
100,335
100,352
100,353
100,359
100,360
100,362
100,380
100,381
100,385
100,387
100,391
100,393
100,394
100,399
100,402
100,403
100,412
100,414
100,421
100,430
100,431
100,437
100,442
100,455
100,468
100,481
150,4
150,5
150,8
150,11
150,13
150,16
150,19
150,20
150,24
150,27
150,30
150,34
150,37
150,38
150,39
150,42
150,52
150,53
150,55
150,57
150,60
150,63
150,64
150,70
150,77
150,78
150,79
150,80
150,85
150,86
150,87
150,89
150,90
150,93
150,96
150,97
